School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Conf._W,Conf._L,Home_W,Home_L,Away_W,Away_L,Points_Tm.,Points_Opp.,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
Boston College,17,4,13,0.235,4.19,9.78,2,9,3,5,0,5,1236,1331,685,434,1018,0.426,158,474,0.333,210,296,0.709,147,562,201,124,69,220,281
Boston University,16,6,10,0.375,0.27,5.58,6,10,1,6,5,4,1111,1196,640,399,921,0.433,115,358,0.321,198,267,0.742,170,566,162,83,43,200,270
Bowling Green State,23,14,9,0.609,2.22,-0.88,10,7,4,6,10,3,1817,1728,925,646,1511,0.428,194,581,0.334,331,447,0.74,280,869,299,167,45,239,392
Bradley,27,12,15,0.444,1.52,2,6,12,8,6,2,9,1885,1791,1090,709,1579,0.449,185,582,0.318,282,389,0.725,277,1001,371,142,96,335,442
Brigham Young,24,19,5,0.792,14.73,5.04,10,3,11,2,7,2,1887,1615,970,694,1429,0.486,215,567,0.379,284,393,0.723,229,945,405,112,68,317,423
Brown,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Bryant,19,14,5,0.737,0.82,-5.29,10,4,9,0,5,5,1608,1443,760,549,1180,0.465,183,473,0.387,327,435,0.752,203,772,305,137,65,302,314
Bucknell,10,4,6,0.4,-3.05,-2.35,4,6,2,3,2,3,732,739,400,252,563,0.448,73,225,0.324,155,203,0.764,63,336,120,60,35,127,174
Buffalo,19,12,7,0.632,8.14,-1.69,10,5,6,3,5,3,1576,1382,765,599,1283,0.467,132,406,0.325,246,367,0.67,278,833,309,158,72,257,354
Butler,22,9,13,0.409,6.86,10.45,8,11,8,4,1,8,1389,1468,890,500,1217,0.411,158,480,0.329,231,364,0.635,202,718,275,123,44,257,363
Cal Poly,20,3,17,0.15,-16.72,-3.82,1,13,3,8,0,9,1228,1419,805,429,1109,0.387,127,419,0.303,243,341,0.713,166,661,244,124,76,279,375
Cal State Bakersfield,25,15,10,0.6,-1.11,-3.54,11,7,9,2,6,8,1755,1607,1005,659,1479,0.446,143,403,0.355,294,411,0.715,339,933,354,161,77,320,482
Cal State Fullerton,13,6,7,0.462,-5.67,-2.92,5,7,5,4,1,3,987,996,525,342,762,0.449,102,268,0.381,201,273,0.736,103,415,176,90,29,168,227
Cal State Northridge,19,9,10,0.474,-10.1,-3.77,5,7,4,5,4,4,1390,1486,765,486,1130,0.43,153,433,0.353,265,361,0.734,175,625,257,124,40,226,334
California Baptist,20,12,8,0.6,-6.45,-7.13,5,5,10,3,2,5,1596,1435,805,558,1176,0.474,193,487,0.396,287,395,0.727,203,755,359,97,48,265,394
UC-Davis,14,8,6,0.571,-8.91,-7.68,6,4,3,2,4,3,1040,1023,575,349,809,0.431,88,258,0.341,254,327,0.777,134,461,156,107,35,207,287
UC-Irvine,22,14,8,0.636,2.87,-1.23,11,4,10,1,4,6,1607,1395,885,607,1327,0.457,109,321,0.34,284,376,0.755,260,882,275,169,82,290,369
